publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p605416,quarry blast,2016-08-12T00:05:58.997Z,2016-09-09T02:34:08.981Z,175.02574160000000347,-37.13550185999999798,1.25337648000000002,0.00000000000000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,8,8,5,0.11268373580000000,135.42686459999998760,0.20307428950000000,0.00000000000000000
2016p605182,,2016-08-11T22:01:12.604Z,2016-08-12T02:06:35.373Z,175.03225869999999986,-37.04130903000000075,1.03534453200000010,6.64062500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,9,8,4,0.11918753870000000,140.80311059999999657,0.52858847970000000,0.00000000000000000
2016p578809,,2016-08-02T03:49:46.177Z,2016-08-02T03:51:45.345Z,175.60651039999999057,-37.75630206000000300,1.89056292000000004,8.04687500000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,3,0.08530982311000000,74.86574790000000235,0.60485903040000000,0.00000000000000000
2016p560602,,2016-07-26T10:09:02.557Z,2016-07-27T02:01:24.535Z,175.14897550000000592,-37.07749230999999668,1.28682774200000005,11.09375000000000000,M,,NonLinLoc,confirmed,manual,nz3drx,14,11,5,0.02807929688000000,110.60894589999999482,0.49503706089999999,0.00000000000000000
2016p560041,,2016-07-26T05:09:58.236Z,2016-07-27T01:53:51.603Z,175.07051459999999565,-37.01373998999999770,1.47417567299999996,7.22656250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,14,11,6,0.11440084609999999,128.01269350000001168,0.37637619589999999,0.00000000000000000
2016p559812,,2016-07-26T03:07:52.648Z,2016-07-27T02:07:08.720Z,174.99250889999999004,-37.08009003000000092,1.11013361899999996,9.45312500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,12,7,6,0.13567992930000000,173.17918789999998808,0.22342034450000001,0.00000000000000000
2016p397465,quarry blast,2016-05-27T01:29:57.887Z,2016-06-21T05:27:12.444Z,175.00663760000000480,-37.11718368999999740,1.62501782899999991,0.00000000000000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,6,6,2,0.12421559540000000,196.25094599999999900,0.22258678860000000,0.00000000000000000
2016p334966,not locatable,2016-05-03T22:29:43.166Z,2016-05-31T04:11:34.086Z,175.86419680000000199,-36.91948699999999661,2.59538175700000018,221.59710690000000000,M,,LOCSAT,confirmed,manual,iasp91,12,9,3,1.74216246599999991,293.31830600000000686,1.57192681200000006,0.00000000000000000
2016p319146,earthquake,2016-04-28T02:01:27.630Z,2016-06-02T21:37:03.263Z,175.0085294,-37.04598487,1.161766664,9.5703125,M,,NonLinLoc,confirmed,manual,nz3drx,12,7,6,0.1115461805,150.7385277,0.2226116709,0
2016p308523,earthquake,2016-04-24T03:41:19.919Z,2016-04-24T20:31:15.897Z,175.08737540000001331,-37.08431613999999854,1.45725721899999994,5.82031250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,14,9,6,0.06153804130000000,164.56628689999999438,0.28329003120000001,0.00000000000000000
2016p283564,earthquake,2016-04-14T22:03:03.901Z,2016-05-09T05:46:30.031Z,174.97638399999999592,-36.92739197000000217,0.79599225959999997,5.11718750000000000,M,,NonLinLoc,confirmed,manual,nz3drx,9,6,4,0.04709428601000000,97.07999814000000072,0.21394020780000000,0.00000000000000000
2016p264249,earthquake,2016-04-07T18:31:47.082Z,2016-04-27T21:53:25.756Z,175.62768550000001255,-37.71762465999999847,2.49476972800000008,247.19978330000000710,M,,LOCSAT,confirmed,manual,iasp91,30,17,7,1.29065036800000010,258.27436069999998836,0.67305128930000002,0.00000000000000000
2016p253422,outside of network interest,2016-04-03T18:23:55.600Z,2016-04-25T23:09:01.061Z,176.00194410000000289,-36.51239130999999816,2.91522515899999979,48.12500000000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.50396887599999995,179.04714599999999791,1.37292867300000010,0.00000000000000000
2016p242619,earthquake,2016-03-30T18:27:37.851Z,2016-04-08T04:10:22.205Z,175.00419619999999554,-37.89839554000000277,2.00134223899999997,208.52276610000001256,M,,LOCSAT,confirmed,manual,iasp91,20,10,1,1.70108938199999993,294.37107850000001008,0.89627080179999996,0.00000000000000000
2016p242523,earthquake,2016-03-30T17:36:43.804Z,2016-03-31T02:23:47.104Z,175.29771420000000148,-37.03728484999999893,1.04485646200000004,3.99739956900000015,M,,LOCSAT,confirmed,manual,iasp91,9,6,5,0.12798537309999999,98.31715775000000690,0.47118711149999998,0.00000000000000000
2016p238580,,2016-03-29T06:35:48.028Z,2016-03-29T06:38:12.139Z,175.24028110000000424,-37.99590128999999905,2.72285171100000012,123.12500000000000000,M,,NonLinLoc,,automatic,nz3drx,39,39,24,0.60591029730000001,142.99014740000001211,2.34888893500000018,0.00000000000000000
2016p205856,,2016-03-17T04:00:26.594Z,2016-03-17T04:02:38.731Z,175.10981340000000728,-37.55991400999999996,1.96554262099999999,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,15,15,6,0.35159140169999997,130.93576150000001235,0.81771767630000003,0.00000000000000000
2016p138646,earthquake,2016-02-21T07:10:41.115Z,2016-03-07T03:49:56.624Z,175.80654910000001223,-37.54591751000000244,2.18830033699999982,139.11000060000000644,M,,LOCSAT,confirmed,manual,iasp91,22,14,6,0.82649308440000002,296.45156100000002652,1.12848484000000004,0.00000000000000000
2016p122080,,2016-02-15T04:04:43.749Z,2016-02-15T04:06:50.220Z,175.11666650000000800,-37.59681796999999648,2.27757766300000020,11.09375000000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.33080758389999998,131.75717380000000389,0.60152456150000000,0.00000000000000000
2016p104300,,2016-02-08T14:11:29.366Z,2016-02-08T14:13:28.521Z,175.27625879999999370,-37.03145451999999693,1.51609059299999993,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.26181632910000002,96.20765862000000368,0.59420415049999997,0.00000000000000000
2016p102638,earthquake,2016-02-07T23:25:59.898Z,2016-02-17T22:40:28.196Z,175.30386350000000562,-37.05475998000000004,2.28360650700000001,5.00000000000000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,30,21,13,0.29463931920000003,75.25338745000000529,0.38203616720000000,0.00000000000000000
2016p096711,,2016-02-05T18:47:58.266Z,2016-02-05T18:49:14.187Z,175.29099880000001122,-37.05192877999999723,1.76607834900000005,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.28512071709999998,123.66092179999999701,0.44909083550000001,0.00000000000000000
2016p082737,earthquake,2016-01-31T14:42:40.433Z,2016-01-31T18:45:25.122Z,175.76474010000001158,-37.63033642999999984,1.78306342400000006,10.15625000000000000,M,,NonLinLoc,confirmed,manual,nz3drx,14,13,7,0.23430578490000001,105.03649099999999805,0.35771342540000001,0.00000000000000000
2016p081732,earthquake,2016-01-31T05:47:17.982Z,2016-01-31T18:41:06.668Z,174.93894960000000083,-36.77602004999999963,1.67349550499999999,4.14944267300000025,M,,LOCSAT,confirmed,manual,iasp91,16,11,8,0.03372701257000000,86.64951324000000454,0.22800817700000001,0.00000000000000000
2016p058581,earthquake,2016-01-22T16:12:08.186Z,2016-01-24T22:41:53.603Z,175.52339169999999058,-37.98719024999999760,1.94555538800000005,94.02438354000000231,M,,LOCSAT,confirmed,manual,iasp91,10,8,4,0.89942604299999995,347.82664490000001933,0.32555458929999997,0.00000000000000000
2015p920292,earthquake,2015-12-07T12:11:37.849Z,2015-12-09T19:53:47.015Z,175.44896040000000426,-38.01237005000000124,2.34023432399999987,5.93750000000000000,M,,NonLinLoc,confirmed,manual,nz3drx,9,7,2,0.28392396700000000,149.72906219999998712,1.41331522000000009,0.00000000000000000
2015p912015,,2015-12-04T10:41:57.198Z,2015-12-04T10:44:05.160Z,174.47189159999999220,-37.88034053999999884,2.42482191499999988,29.84375000000000000,M,,NonLinLoc,,automatic,nz3drx,33,33,17,0.69756182330000005,165.87058840000000259,0.65643042389999995,0.00000000000000000
2015p868005,outside of network interest,2015-11-18T03:53:38.888Z,2015-11-26T02:13:30.339Z,175.69221469999999385,-37.55638328999999942,2.50026826599999996,44.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,14,14,7,1.44009283499999996,271.58900390000002290,1.79654936199999993,0.00000000000000000
2015p860542,outside of network interest,2015-11-15T09:36:57.895Z,2015-11-24T05:11:56.697Z,175.49519670000000815,-37.08334683000000354,2.46228294400000003,89.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,13,13,5,0.38609379160000001,117.77929579999999987,2.12416193199999981,0.00000000000000000
2015p838179,earthquake,2015-11-07T03:02:04.065Z,2015-11-07T08:08:14.441Z,174.99307749999999828,-36.76655167999999918,1.85679058999999991,7.10937500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,14,11,7,0.07622755365000000,93.39658667999999864,0.34482241320000001,0.00000000000000000
2015p823907,earthquake,2015-11-01T20:17:46.514Z,2015-11-07T08:09:01.457Z,174.43558459999999855,-37.88922296999999872,3.16773513500000004,30.78125000000000000,M,,NonLinLoc,confirmed,manual,nz3drx,72,61,47,0.70210817430000005,160.21861590000000319,0.84718297060000003,0.00000000000000000
2015p754408,earthquake,2015-10-07T03:08:44.683Z,2015-10-07T03:50:54.874Z,175.02156729999998674,-37.56717079999999953,1.92794681099999998,19.53125000000000000,M,,NonLinLoc,confirmed,manual,nz3drx,16,13,6,0.47855289169999998,140.93621229999999400,0.82511308709999998,0.00000000000000000
2015p749358,earthquake,2015-10-05T06:18:26.298Z,2015-10-05T07:28:01.928Z,175.04444889999999191,-35.99069595000000277,2.35691512999999997,3.53288292899999989,M,,LOCSAT,confirmed,manual,iasp91,11,9,7,0.42316177490000001,212.82732390000001033,0.26972141449999998,0.00000000000000000
2015p749091,quarry blast,2015-10-05T03:54:41.346Z,2015-10-14T01:49:45.708Z,175.03715520000000083,-36.96748352000000182,1.51465410199999995,0.00000000000000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,4,4,3,0.08870064467000000,131.24290469999999686,0.53346236700000005,0.00000000000000000
2015p738292,,2015-10-01T04:02:27.536Z,2015-10-01T04:04:27.368Z,175.13063220000000797,-37.57890787000000188,2.12181257300000015,10.62500000000000000,M,,NonLinLoc,,automatic,nz3drx,16,16,9,0.32837841470000001,132.04966550000000325,0.86786454530000001,0.00000000000000000
2015p732887,,2015-09-29T04:02:21.482Z,2015-09-29T04:04:38.659Z,174.97399070000000165,-37.53066349000000201,2.22443685899999988,24.68750000000000000,M,,NonLinLoc,,automatic,nz3drx,19,19,12,0.45481554400000002,168.60733089999999379,1.01151898199999990,0.00000000000000000
2015p684013,earthquake,2015-09-11T02:02:27.807Z,2015-09-11T04:05:46.201Z,175.08122309999998834,-37.60071729999999945,2.42903468200000017,9.68750000000000000,M,,NonLinLoc,confirmed,manual,nz3drx,10,8,4,0.35520741900000002,135.67455810000001293,0.71763529049999997,0.00000000000000000
2015p681477,,2015-09-10T03:31:13.484Z,2015-09-10T07:38:53.393Z,175.08576400000001172,-37.56583563000000225,2.40530179599999983,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,24,24,13,0.36568899199999999,133.75427730000001247,0.87904814180000002,0.00000000000000000
2015p676506,,2015-09-08T07:23:30.771Z,2015-09-08T07:25:37.681Z,175.62662560000001122,-37.90115537999999873,2.04666783299999988,59.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.70141339300000005,143.67497579999999857,1.40775632399999995,0.00000000000000000
2015p676377,outside of network interest,2015-09-08T06:13:23.946Z,2015-09-28T23:22:03.195Z,175.51358030000000099,-36.65594863999999831,3.14563812799999987,10.00000000000000000,M,,LOCSAT,,automatic,iasp91,10,10,4,2.04400324800000011,314.40756989999999860,1.18065457199999990,0.00000000000000000
2015p653197,earthquake,2015-08-30T16:23:40.572Z,2015-09-09T04:04:25.966Z,174.48300169999998843,-37.89575194999999752,2.32480994299999999,12.00000000000000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,61,37,22,0.68256264929999999,159.53242489999999520,0.63593483439999998,0.00000000000000000
2015p640772,,2015-08-26T02:03:24.782Z,2015-08-26T02:06:25.429Z,175.13643899999999576,-37.53406000999999748,2.32624248099999997,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,16,16,12,0.34699012210000002,126.97049090000000149,1.01793056400000004,0.00000000000000000
2015p635707,,2015-08-24T05:04:50.967Z,2015-08-24T05:06:54.458Z,175.09649379999999042,-37.57284100999999765,2.28346730499999984,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.35507416110000001,132.90934480000001372,0.69733641989999995,0.00000000000000000
2015p630442,earthquake,2015-08-22T06:19:47.412Z,2015-09-02T02:20:55.536Z,175.61808780000001207,-37.90984725999999938,2.48478621799999999,224.36962890000000925,M,,LOCSAT,confirmed,manual,iasp91,21,12,9,0.20091778040000000,119.87613679999999761,0.94708858100000004,0.00000000000000000
2015p612103,,2015-08-15T11:28:59.980Z,2015-08-15T11:30:46.671Z,175.78455829999998627,-37.61094592999999975,1.91235507099999991,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,13,13,10,0.25761463790000000,109.46821319999999389,0.32153564649999999,0.00000000000000000
2015p606493,,2015-08-13T09:39:36.000Z,2015-08-13T09:42:56.232Z,175.16514900000001376,-38.03359852999999902,2.35229028299999987,119.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,18,18,14,0.64566496029999998,177.39462670000000344,1.65147547500000003,0.00000000000000000
2015p540420,earthquake,2015-07-19T22:56:15.149Z,2015-07-19T23:31:20.430Z,175.61345370000000798,-37.62896219000000286,2.74327964800000013,8.28125000000000000,M,,NonLinLoc,confirmed,manual,nz3drx,29,18,29,0.13799283039999999,85.41139887999999303,1.58932217100000006,0.00000000000000000
2015p492348,quarry blast,2015-07-02T04:04:20.915Z,2015-07-02T20:20:59.887Z,175.09519810000000462,-37.58280719999999775,2.32185292100000007,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,20,20,16,0.35183146659999998,156.46368350000000191,0.98180813410000001,0.00000000000000000
2015p478410,earthquake,2015-06-27T00:17:04.635Z,2015-06-27T00:20:48.532Z,174.98501060000000962,-36.78422713999999871,2.17126419100000012,7.22656250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,19,14,12,0.07106102864000000,67.00814825000000496,0.42901821239999999,0.00000000000000000
2015p478371,earthquake,2015-06-26T23:56:06.210Z,2015-06-27T00:17:48.772Z,174.98368489999998587,-36.78335146999999949,2.52175161900000022,7.69531250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,22,14,12,0.06985531518000000,67.09936381999999355,0.51521691359999999,0.00000000000000000
2015p454499,quarry blast,2015-06-18T03:57:43.000Z,2015-06-30T05:14:12.590Z,175.06999999999999318,-37.61999999999999744,2.48517324999999989,0.00000000000000000,M,,,confirmed,manual,,0,0,11,0.00000000000000000,0.00000000000000000,1.21463036299999994,0.00000000000000000
2015p399076,,2015-05-28T15:48:33.844Z,2015-05-28T15:51:34.188Z,175.17966430000001310,-37.74053443999999757,2.55070738499999994,55.62500000000000000,M,,NonLinLoc,,automatic,nz3drx,16,16,8,0.60855891129999995,294.02579930000001696,0.84252756760000003,0.00000000000000000
2015p395630,,2015-05-27T09:12:42.932Z,2015-05-27T09:16:17.871Z,175.56603329999998664,-38.01266051999999718,2.53110956600000003,447.50000000000000000,M,,NonLinLoc,,automatic,nz3drx,15,15,12,0.66977529599999996,263.27051860000000261,0.94353804440000000,0.00000000000000000
2015p379460,,2015-05-21T09:36:20.173Z,2015-05-21T09:39:50.336Z,175.48146130000000653,-38.03338619000000165,2.82586156700000002,225.31250000000000000,M,,NonLinLoc,,automatic,nz3drx,23,23,18,1.06780203799999995,232.97358399999998824,0.39390184680000001,0.00000000000000000
2015p376473,,2015-05-20T07:04:48.034Z,2015-05-20T07:31:03.772Z,175.67151269999999386,-37.72580852000000107,2.43561790399999989,214.06250000000000000,M,,NonLinLoc,,automatic,nz3drx,18,18,13,1.23608530899999991,252.00079869999999005,0.53091284240000003,0.00000000000000000
2015p370724,quarry blast,2015-05-18T04:01:56.616Z,2015-05-18T20:15:27.562Z,175.04724970000000894,-37.54879144000000224,2.56991296999999985,5.23437500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,13,12,8,0.40029654390000002,162.08335999999999899,0.44263275580000000,0.00000000000000000
2015p356834,outside of network interest,2015-05-13T00:40:54.084Z,2015-06-02T03:42:14.224Z,175.54687500000000000,-37.73437500000000000,2.56773200300000015,635.28125000000000000,M,,NonLinLoc,,automatic,iaspei91,12,12,6,0.98308550080000001,138.62378570000001332,1.21640617100000004,0.00000000000000000
2015p354900,outside of network interest,2015-05-12T07:30:23.835Z,2015-05-29T05:04:23.312Z,175.04282820000000243,-37.71626701000000281,3.18908195599999988,278.75000000000000000,M,,NonLinLoc,,automatic,nz3drx,18,18,11,0.97148783319999998,291.92546270000002551,1.48594165600000006,0.00000000000000000
2015p320886,,2015-04-29T17:28:06.970Z,2015-04-29T20:33:43.656Z,175.69908140000001140,-37.78668943000000269,2.68690375899999978,69.68750000000000000,M,,NonLinLoc,,automatic,nz3drx,23,23,12,0.19900189739999999,258.91593569999997726,1.07455975599999998,0.00000000000000000
2015p230631,,2015-03-27T08:00:25.947Z,2015-03-27T08:03:43.311Z,176.08728070000000798,-36.56843434999999687,3.02207768300000001,231.87500000000000000,M,,NonLinLoc,,automatic,nz3drx,14,14,12,1.76198374600000007,300.21028549999999768,0.49471151930000001,0.00000000000000000
2015p218386,,2015-03-22T19:16:21.645Z,2015-03-22T19:18:46.493Z,175.63156789999999319,-37.71268670999999983,2.54820403200000012,5.05859375000000000,M,,NonLinLoc,,automatic,nz3drx,32,32,23,0.10493939950000000,51.08605175000000287,0.40120717690000002,0.00000000000000000
2015p188674,earthquake,2015-03-11T19:25:56.266Z,2015-03-11T19:51:01.031Z,174.56538630000000012,-37.71059128000000271,2.31931776100000020,15.54687500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,16,15,12,0.65073238040000003,180.23601239999999279,0.31806194300000001,0.00000000000000000
2015p184049,earthquake,2015-03-10T02:21:42.843Z,2015-03-10T06:43:49.610Z,174.46279219999999555,-38.05104785999999706,2.46256475599999991,9.92187500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,31,29,20,0.55231543959999996,168.93952759999999103,0.38972224870000000,0.00000000000000000
2015p148561,,2015-02-24T23:13:45.581Z,2015-02-24T23:17:10.199Z,175.45979189999999903,-38.01937542999999664,2.44516271399999985,202.81250000000000000,M,,NonLinLoc,,automatic,nz3drx,13,13,11,1.08935814599999992,151.75829719999998701,0.23265209489999999,0.00000000000000000
2015p123092,,2015-02-15T13:03:37.509Z,2015-02-15T13:08:24.571Z,174.85185509999999454,-36.87635855999999990,3.43657685699999993,168.12500000000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.71066861260000003,258.49564270000001898,0.59786258579999996,0.00000000000000000
2015p112861,,2015-02-11T18:12:09.487Z,2015-02-11T18:13:59.114Z,175.48186229999998886,-37.93668508999999744,2.71616546500000000,164.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.85447204539999999,159.30277509999999097,0.64769298210000004,0.00000000000000000
2015p097357,,2015-02-06T00:32:07.365Z,2015-02-06T00:35:20.254Z,175.26285989999999515,-37.54633895999999993,2.83933900699999997,191.56250000000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,10,0.82415170049999997,173.30096420000000990,0.51111075159999997,0.00000000000000000
2015p091297,,2015-02-03T18:43:21.595Z,2015-02-03T19:00:09.420Z,174.30125240000000986,-37.88839062000000268,2.66695278300000016,10.15625000000000000,M,,NonLinLoc,,automatic,nz3drx,31,31,23,0.75689410999999995,168.36642960000000357,0.38125604499999999,0.00000000000000000
2015p091194,,2015-02-03T17:48:03.372Z,2015-02-03T17:50:00.293Z,174.83672359999999912,-38.03677168000000108,2.57587628899999999,93.12500000000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,6,1.04031593600000005,282.59463260000001128,0.63503727639999996,0.00000000000000000
2015p084050,,2015-02-01T02:22:00.891Z,2015-02-01T02:25:06.152Z,174.93809550000000286,-37.62628082999999890,2.82224605300000020,171.87500000000000000,M,,NonLinLoc,,automatic,nz3drx,17,17,9,0.45626922390000002,269.02656610000002502,0.80034696719999998,0.00000000000000000
2015p078621,,2015-01-30T02:09:28.018Z,2015-01-30T02:12:51.224Z,175.63153320000000690,-37.86129061999999834,2.42593712700000008,209.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,16,16,12,1.13415209799999994,268.56989790000000085,0.29270220279999998,0.00000000000000000
2015p078448,,2015-01-30T00:37:10.080Z,2015-01-30T00:41:03.827Z,175.40804479999999899,-37.87269813999999712,2.79459052099999994,324.21875000000000000,M,,NonLinLoc,,automatic,nz3drx,46,46,36,1.09641063899999991,132.53985879999999042,0.48559764389999999,0.00000000000000000
2015p036505,,2015-01-14T12:09:44.365Z,2015-01-14T12:13:27.283Z,175.75991680000001338,-36.99827662999999944,2.72160404800000011,269.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,15,15,11,1.62525692999999993,286.70917960000002722,0.91253088199999999,0.00000000000000000
2015p036155,,2015-01-14T09:02:58.592Z,2015-01-14T09:04:36.471Z,175.15468219999999633,-37.57298624999999959,2.84413201500000001,357.50000000000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,8,1.00443679299999999,331.18620479999998452,1.34212470399999995,0.00000000000000000
2014p979764,,2014-12-29T12:18:53.127Z,2014-12-29T12:21:37.332Z,174.71074229999999261,-37.41236530999999843,2.83798467399999987,323.75000000000000000,M,,NonLinLoc,,automatic,nz3drx,14,14,9,1.05702118800000000,264.54269160000001193,0.75903974460000001,0.00000000000000000
2014p961220,,2014-12-22T15:38:03.338Z,2014-12-22T15:41:11.981Z,175.64685800000000881,-36.97805378000000331,2.43506357000000007,37.81250000000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.89212453690000004,294.06580000000002428,0.67603644689999998,0.00000000000000000
2014p959904,earthquake,2014-12-22T03:57:18.172Z,2014-12-22T20:05:20.600Z,174.98243279999999800,-36.94457338000000135,1.50448396299999998,7.13867187500000000,M,,NonLinLoc,confirmed,manual,nz3drx,11,8,6,0.04457819437000000,99.51072143999999753,0.14851386850000001,0.00000000000000000
2014p950419,,2014-12-18T15:43:48.027Z,2014-12-18T15:47:21.802Z,175.81456779999999185,-37.60354389999999825,2.68933611699999986,227.18750000000000000,M,,NonLinLoc,,automatic,nz3drx,14,14,10,0.65796226849999995,288.62615060000001677,0.33706402110000000,0.00000000000000000
2014p944559,outside of network interest,2014-12-16T11:41:38.864Z,2014-12-29T01:16:33.232Z,176.28003549999999677,-36.28779444999999981,3.46812298999999991,323.75000000000000000,M,,NonLinLoc,,automatic,nz3drx,27,27,18,1.06252461099999995,251.53139110000000755,0.78759283899999999,0.00000000000000000
2014p938320,,2014-12-14T04:17:20.763Z,2014-12-14T07:43:35.350Z,175.69092280000000983,-37.71015534000000002,2.51280832600000004,9.80468750000000000,M,,NonLinLoc,,automatic,nz3drx,19,19,14,0.15171630489999999,126.37520560000000103,1.04640605899999994,0.00000000000000000
2014p937257,,2014-12-13T18:50:44.292Z,2014-12-13T18:54:09.734Z,175.31978079999998954,-37.92332238000000189,2.65026139300000008,187.34375000000000000,M,,NonLinLoc,,automatic,nz3drx,14,14,9,0.84033777460000003,168.98651119999999537,0.37379195170000001,0.00000000000000000
2014p919218,,2014-12-07T02:39:36.070Z,2014-12-07T02:42:55.783Z,175.59023429999999166,-37.56341872000000137,2.35855550799999980,5.05859375000000000,M,,NonLinLoc,,automatic,nz3drx,14,14,9,0.18489599809999999,98.78865552999999977,0.32468736650000002,0.00000000000000000
2014p913958,,2014-12-05T03:57:12.040Z,2014-12-05T04:00:41.842Z,175.51172339999999394,-37.69749653000000222,2.65539617499999991,299.37500000000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,7,1.52981747999999995,278.33135390000001053,0.68209883280000005,0.00000000000000000
2014p868169,quarry blast,2014-11-18T05:20:33.754Z,2014-11-25T05:24:18.064Z,174.84817839999999478,-36.59957053000000116,1.81236639100000008,5.64453125000000000,M,,NonLinLoc,confirmed,manual,nz3drx,11,11,8,0.01325652800000000,85.90157854000000270,0.13579240519999999,0.00000000000000000
2014p867461,quarry blast,2014-11-17T23:03:35.514Z,2014-11-25T02:56:27.575Z,174.84669279999999958,-36.59994063999999980,1.83572414199999989,5.41015625000000000,M,,NonLinLoc,confirmed,manual,nz3drx,11,11,8,0.01201040049000000,154.88163080000001059,0.10915634750000000,0.00000000000000000
2014p859946,,2014-11-15T04:19:12.296Z,2014-11-15T04:22:37.173Z,175.22819179999999051,-37.99886209999999664,2.92569919299999981,215.93750000000000000,M,,NonLinLoc,,automatic,nz3drx,19,19,14,0.34710226770000002,217.63690489999999045,0.49476831900000001,0.00000000000000000
2014p853608,earthquake,2014-11-12T20:02:38.032Z,2014-11-12T20:17:44.020Z,174.94053650000000744,-36.76897430000000355,2.65811899000000018,4.09870624499999980,M,,LOCSAT,confirmed,manual,iasp91,22,18,14,0.03422168642000000,66.32890319999999917,0.45598543000000002,0.00000000000000000
2014p850374,earthquake,2014-11-11T15:19:46.028Z,2014-11-12T08:56:28.954Z,175.72348709999999983,-37.74805717000000271,2.86164915499999983,5.05859375000000000,M,,NonLinLoc,confirmed,manual,nz3drx,61,57,38,0.17536082359999999,86.11734112999999979,0.62840264280000002,0.00000000000000000
2014p839723,,2014-11-07T16:44:48.505Z,2014-11-07T19:04:43.210Z,175.71473359999998820,-37.77800531999999833,2.10103331000000004,7.10937500000000000,M,,NonLinLoc,,automatic,nz3drx,14,14,10,0.17293597270000000,81.83604049000000202,0.21700236230000000,0.00000000000000000
2014p837123,earthquake,2014-11-06T17:39:11.150Z,2014-11-07T01:37:59.805Z,175.72289319999998725,-37.74095263000000244,2.30876064700000017,5.05859375000000000,M,,NonLinLoc,confirmed,manual,nz3drx,29,26,16,0.17461959020000001,87.04744112000000200,0.37151275179999999,0.00000000000000000
2014p836792,earthquake,2014-11-06T14:43:10.173Z,2014-11-10T00:06:41.284Z,175.71723789999998644,-37.75745005000000276,3.76235030700000017,6.58203125000000000,M,,NonLinLoc,confirmed,manual,nz3drx,63,54,41,0.17127135960000001,55.71845265000000325,0.34949722760000002,0.00000000000000000
2014p836279,earthquake,2014-11-06T10:09:44.554Z,2014-11-06T21:03:59.857Z,175.70603429999999889,-37.75960291999999896,2.78428496800000014,7.98828125000000000,M,,NonLinLoc,confirmed,manual,nz3drx,28,25,17,0.16279363510000000,57.20843313999999680,0.28642187679999997,0.00000000000000000
2014p834579,earthquake,2014-11-05T19:04:03.549Z,2014-11-11T03:58:39.301Z,174.57835389999999620,-38.03812027000000029,3.04016991900000022,5.00000000000000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,65,50,38,0.52189284560000004,153.13523860000000809,0.85148007889999999,0.00000000000000000
2014p833507,,2014-11-05T09:32:38.151Z,2014-11-05T09:35:10.132Z,175.73117980000000671,-37.72078561000000008,2.53054302299999989,5.05859375000000000,M,,NonLinLoc,,automatic,nz3drx,52,52,35,0.18195462570000001,47.70642812999999904,0.49361501470000002,0.00000000000000000
2014p832950,,2014-11-05T04:35:46.998Z,2014-11-05T05:57:43.600Z,175.71881099999998810,-37.76250087999999749,2.14093441200000001,6.11328125000000000,M,,NonLinLoc,,automatic,nz3drx,17,17,13,0.17315378560000000,84.01030873999999926,0.19175619420000001,0.00000000000000000
