publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2021p143692,quarry blast,2021-02-23T03:59:17.000Z,2021-02-23T04:05:42.491Z,175.06,-37.61,2.288046243,0,M,,,confirmed,manual,,0,0,2,0,0,0.8210088489,0
2021p113981,quarry blast,2021-02-12T04:09:22.000Z,2021-02-12T04:24:19.408Z,175.06,-37.61,2.448755123,0,M,,,confirmed,manual,,0,0,9,0,0,0.623689893,0
2021p108379,quarry blast,2021-02-10T02:24:24.000Z,2021-02-10T02:27:56.764Z,175.06,-37.61,2.14109734,0,M,,,confirmed,manual,,0,0,5,0,0,0.6003397868,0
2021p095032,quarry blast,2021-02-05T03:53:22.000Z,2021-02-05T03:56:31.930Z,175.06,-37.61,1.997248745,0,M,,,confirmed,manual,,0,0,3,0,0,0.6741224534,0
2021p076858,earthquake,2021-01-29T10:30:06.321Z,2021-01-29T10:32:23.308Z,175.5911865,-37.60681915,2.045300416,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,19,6,0.1034886315,75.65275955,0.4055330946,0
2021p070703,quarry blast,2021-01-27T03:50:36.000Z,2021-01-27T03:57:00.083Z,175.06,-37.61,2.073710208,0,MLv,,,confirmed,manual,,0,0,9,0,0,0.5376752508,0.1868304561
2021p068728,earthquake,2021-01-26T10:18:43.475Z,2021-01-26T23:43:29.328Z,174.9130707,-35.82403183,2.157509879,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,6,0.4752547145,211.6068268,0.4129298549,0
2021p035578,quarry blast,2021-01-14T03:56:04.000Z,2021-01-14T04:06:56.568Z,175.06,-37.61,2.011381932,0,M,,,confirmed,manual,,0,0,4,0,0,0.3964659977,0
2021p004309,earthquake,2021-01-02T14:16:15.684Z,2021-01-02T14:18:05.497Z,174.9875488,-36.37161255,1.476880388,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,11,6,0.2601965666,122.9092407,0.4189369457,0
2020p962602,quarry blast,2020-12-22T03:54:23.000Z,2020-12-22T03:57:28.372Z,175.06,-37.61,1.859868225,0,M,,,confirmed,manual,,0,0,11,0,0,0.5100160537,0
2020p959915,quarry blast,2020-12-21T04:03:04.000Z,2020-12-21T04:10:27.927Z,175.06,-37.61,1.830705482,0,M,,,confirmed,manual,,0,0,5,0,0,0.5684836043,0
2020p951799,quarry blast,2020-12-18T03:58:33.000Z,2020-12-18T04:08:27.352Z,175.06,-37.61,1.908090669,0,M,,,confirmed,manual,,0,0,6,0,0,0.8509048179,0
2020p936923,earthquake,2020-12-12T15:52:38.748Z,2020-12-12T16:02:11.184Z,175.5676727,-37.69789886,3.188972637,4.628818512,M,,LOCSAT,confirmed,manual,iasp91,43,30,58,0.06176036596,62.54206848,0.5939455792,0
2020p868712,earthquake,2020-11-17T10:09:53.329Z,2020-11-17T10:18:49.367Z,173.8414154,-34.74633408,3.283237482,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,17,13,0.5134120584,296.1229858,0.9862529274,0
2020p861618,earthquake,2020-11-14T19:10:20.055Z,2020-11-14T19:33:14.730Z,175.0028687,-35.79963303,2.117251545,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,7,0.5520071387,204.4254456,0.6386392331,0.2085926714
2020p839528,earthquake,2020-11-06T15:00:41.275Z,2020-11-06T15:06:38.238Z,175.025116,-35.76618195,1.825003329,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,8,7,0.5783797503,209.4869995,0.4553977131,0
2020p816815,earthquake,2020-10-29T05:19:13.947Z,2020-10-29T05:24:34.134Z,175.6103668,-37.68538666,2.044111044,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,14,8,0.09735263884,86.09815979,0.2865130049,0.2824132162
2020p814150,earthquake,2020-10-28T05:39:17.680Z,2020-11-25T00:40:01.406Z,175.0174255,-35.80976868,2.644286399,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,10,0.5610210299,204.5377655,0.6580574029,0.2209084947
2020p813961,quarry blast,2020-10-28T03:58:45.000Z,2020-10-28T04:02:34.842Z,175.06,-37.61,2.356093547,0,MLv,,,confirmed,manual,,0,0,2,0,0,0.6867458378,0.2304339884
2020p763292,earthquake,2020-10-09T10:02:30.268Z,2020-10-09T10:32:23.763Z,175.5946198,-37.62438583,1.742312209,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,13,4,0.1133723035,77.26190186,0.4288819128,0.2466121407
2020p748842,earthquake,2020-10-04T01:42:31.288Z,2020-11-02T05:24:33.823Z,175.6308289,-36.46254349,2.783853486,318.3153076,M,,LOCSAT,confirmed,manual,iasp91,35,23,7,0.7478524446,253.3021164,0.9921193432,0
2020p743692,quarry blast,2020-10-02T03:59:27.000Z,2020-10-02T04:01:25.518Z,175.06,-37.61,1.947257866,0,M,,,confirmed,manual,,0,0,4,0,0,0.7216067857,0
2020p719482,quarry blast,2020-09-23T05:00:10.639Z,2020-09-23T05:04:19.591Z,175.1092987,-37.61427689,1.849146247,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,9,9,5,0.3325508237,133.2817535,0.1905820776,0
2020p687444,earthquake,2020-09-11T08:30:24.836Z,2020-09-11T08:33:33.583Z,175.3354492,-37.0727005,1.298686181,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,8,4,0.1428545713,161.7784204,0.4017888269,0
2020p678938,quarry blast,2020-09-08T04:58:13.000Z,2020-09-08T05:32:28.643Z,175.06,-37.6118,2.368672517,0,M,,,confirmed,manual,,0,0,6,0,0,0.6901074625,0
2020p668131,quarry blast,2020-09-04T05:00:20.000Z,2020-09-04T05:05:10.124Z,175.064,-37.61,2.077376348,0,M,,,confirmed,manual,,0,0,7,0,0,0.6012590943,0
2020p667959,quarry blast,2020-09-04T03:28:48.492Z,2020-10-01T23:18:04.564Z,175.018692,-36.96957397,1.14110512,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,12,6,0.07455282658,112.0221653,0.5967884586,0
2020p664271,earthquake,2020-09-02T18:43:39.192Z,2020-09-02T18:50:30.589Z,175.0142975,-35.81260681,3.199729624,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,13,11,0.5578938723,203.9953766,0.3027302862,0
2020p657866,earthquake,2020-08-31T09:51:19.844Z,2020-08-31T09:54:18.961Z,175.02005,-35.79134369,2.763197263,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,20,10,0.5676381588,196.5589905,0.4768947152,0
2020p655423,not locatable,2020-08-30T12:10:15.825Z,2020-08-30T14:31:52.586Z,175.6241703,-37.92108776,2.088263354,128.75,M,,NonLinLoc,,automatic,nz3drx,13,13,5,1.20647814,144.3216849,2.202082585,0
2020p649048,quarry blast,2020-08-28T03:32:52.171Z,2020-08-28T03:35:30.817Z,175.0280609,-36.9676857,1.131958756,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,10,4,0.08154980838,116.0281277,0.4098908854,0
2020p608684,quarry blast,2020-08-13T05:07:02.045Z,2020-08-13T05:10:03.859Z,175.0819397,-37.60859299,1.665003563,0,M,,LOCSAT,confirmed,manual,iasp91,10,10,5,0.3548914194,135.9881287,0.3971706443,0
2020p596479,earthquake,2020-08-08T16:44:31.290Z,2020-09-03T22:28:19.869Z,174.951416,-35.813797,2.873427448,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,10,0.5079735518,199.0377502,0.4752146694,0
2020p596173,earthquake,2020-08-08T14:01:14.580Z,2020-08-08T14:05:11.086Z,174.9515991,-35.80485916,2.12924478,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,5,0.5104041696,199.9904633,0.5443746982,0
2020p595689,not locatable,2020-08-08T09:43:14.044Z,2020-08-08T09:55:18.100Z,175.7977753,-37.42436218,2.315291072,100,M,operator assigned,LOCSAT,preliminary,manual,iasp91,9,6,1,1.332438707,288.1472778,1.172341812,0
2020p592671,earthquake,2020-08-07T06:55:17.837Z,2020-08-07T06:58:45.388Z,174.4187012,-37.93478775,2.119777755,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,17,4,0.6720364094,171.382823,0.332489569,0
2020p583541,earthquake,2020-08-03T21:51:07.657Z,2020-08-03T21:55:39.678Z,174.9666748,-35.81113434,2.400938997,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,7,0.5206474066,200.4578857,0.6526406118,0
2020p583014,earthquake,2020-08-03T17:09:53.321Z,2020-09-01T03:30:57.217Z,174.9304504,-35.80923843,2.478385831,3,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,10,0.49266994,197.9853363,0.609627407,0
2020p579879,earthquake,2020-08-02T13:19:50.775Z,2020-08-31T04:02:53.566Z,174.9611053,-35.81637192,2.783208874,9.844069481,M,,LOCSAT,confirmed,manual,iasp91,24,14,9,0.514983356,199.4877014,0.8288909667,0
2020p579845,earthquake,2020-08-02T13:01:34.126Z,2020-08-02T13:06:15.951Z,174.9313965,-35.81386566,2.469006726,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,15,9,0.4922099411,197.5641479,0.4844878044,0
2020p578770,earthquake,2020-08-02T03:29:04.881Z,2020-08-31T03:45:24.739Z,174.9396057,-35.82472229,2.66256802,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,13,9,0.4960370958,197.0039673,0.6789633881,0
2020p573064,earthquake,2020-07-31T00:48:38.475Z,2020-07-31T00:50:49.958Z,174.9147797,-35.85638428,2.219204779,10.38053322,M,,LOCSAT,confirmed,manual,iasp91,16,11,6,0.4698092639,191.7384796,0.5942881443,0
2020p568129,quarry blast,2020-07-29T04:59:23.000Z,2020-08-09T23:32:03.756Z,175.06,-37.61,1.790004559,0,M,,,confirmed,manual,,0,0,7,0,0,0.6692632238,0
2020p554699,earthquake,2020-07-24T05:43:48.000Z,2020-07-24T05:46:07.974Z,175.06,-37.61,2.422519791,0,M,,,confirmed,manual,,0,0,2,0,0,1.301959379,0
2020p554474,quarry blast,2020-07-24T03:44:03.000Z,2020-07-24T03:52:21.969Z,175.01,-36.96,0.9224771696,0,M,,,confirmed,manual,,0,0,4,0,0,0.5334532636,0
